CVRNR;PNR;BRANCHEGRUPPE;BRANCHE;NAVN;ADRESSE;POSTNR;POSTDISTRIKT;SMILEY;SMILEY_DATO;REAKTIONS_TYPE;ARBEJDSMILJØPROBLEMER;REAKTIONS_STATUS;Unnamed:13;id
49979517;1003094147;Vand, kloak og affald;Indsamling af ikke-farligt affald;MARIUS PEDERSEN A/S;Havnegade 90;5000;Odense C;rød;13-08-2023 00:00:00;Påbud;096 Interne færdselsveje;Ikke efterkommet;;-8991848057347751199
49979517;1003094147;Vand, kloak og affald;Indsamling af ikke-farligt affald;MARIUS PEDERSEN A/S;Havnegade 90;5000;Odense C;rød;13-08-2023 00:00:00;Strakspåbud;091 Maskiner og trykbærende udstyr;Efterkommet;;738938358389539085
49979517;1003094147;Vand, kloak og affald;Indsamling af ikke-farligt affald;MARIUS PEDERSEN A/S;Havnegade 90;5000;Odense C;rød;13-08-2023 00:00:00;Afgørelse uden handlepligt;094 Fald til lavere niveau;Efterkommet;;-4851570733245999639
49979517;1003094147;Vand, kloak og affald;Indsamling af ikke-farligt affald;MARIUS PEDERSEN A/S;Havnegade 90;5000;Odense C;rød;13-08-2023 00:00:00;Strakspåbud;118 Eftersyn;Efterkommet;;-7934906817337078352
49979517;1003094147;Vand, kloak og affald;Indsamling af ikke-farligt affald;MARIUS PEDERSEN A/S;Havnegade 90;5000;Odense C;rød;13-08-2023 00:00:00;Kompetence kompleks;096 Interne færdselsveje;Ikke efterkommet;;8131923683624426834
49979517;1003094147;Vand, kloak og affald;Indsamling af ikke-farligt affald;MARIUS PEDERSEN A/S;Havnegade 90;5000;Odense C;rød;13-08-2023 00:00:00;Strakspåbud;133 Øvrigt;Efterkommet;;1582214681286489085
49979517;1003094147;Vand, kloak og affald;Indsamling af ikke-farligt affald;MARIUS PEDERSEN A/S;Havnegade 90;5000;Odense C;rød;13-08-2023 00:00:00;Påbud;012 Unødig støj, produktionslokaler;Ikke efterkommet;;4393446507169165116
49979517;1003094147;Vand, kloak og affald;Indsamling af ikke-farligt affald;MARIUS PEDERSEN A/S;Havnegade 90;5000;Odense C;rød;13-08-2023 00:00:00;Strakspåbud;073 Luftvejsbelastninger;Efterkommet;;-460122089114637818
49979517;1003094147;Vand, kloak og affald;Indsamling af ikke-farligt affald;MARIUS PEDERSEN A/S;Havnegade 90;5000;Odense C;rød;13-08-2023 00:00:00;Påbud;099 Øvrige ulykkesrisici;Ikke efterkommet;;2634061881484871205
49979517;1003094147;Vand, kloak og affald;Indsamling af ikke-farligt affald;MARIUS PEDERSEN A/S;Havnegade 90;5000;Odense C;rød;13-08-2023 00:00:00;Kompetence, mangepåbud; ;Ikke efterkommet;;2316594800222294362
